,review,ner_review
0,Nobody understands the male friendship & brotherhood better than John Woo.,Nobody understands the male friendship brotherhood better than [DIRECTOR]
1,"john woo just earnestly loves guys being dudes, loads of bros crying their hearts out in the rain and hugging each other and fighting for honor and loyalty and chivalry, it fucking rules","[DIRECTOR] just earnestly loves guys being dudes, loads of bros crying their hearts out in the rain and hugging each other and fighting for honor and loyalty and chivalry, it fucking rules"
2,Brotherhood and ethics vs. blood and fire. The DNA strand to just about every great action melodrama for the next two decades.,Brotherhood and ethics vs blood and fire The DNA strand [ACTOR] just about every great action melodrama for the next two decades
3,"After an up and down decade as a director for hire in the last days of the Shaw Brothers, working alternately in the wuxia and wacky comedy genres, John Woo finally hit it big in 1986 when he teamed up with Tsui Hark and the Cinema City studio to remake Patrick Lung Kong's 1967 drama The Story of a Discharged Prisoner. One of the most influential films of the past 30 years, A Better Tomorrow established the formal and thematic…","After an up and down decade as a director for hire in the last days of the Shaw Brothers, working alternately in the wuxia and wacky comedy genres, [DIRECTOR] finally hit it big in 1986 when he teamed up with [ACTOR] and the Cinema City studio [ACTOR] remake Patrick [ACTOR] Kong 1967 drama The Story of a Discharged Prisoner One of the most influential films of the past 30 years, A Better Tomorrow established the formal and thematic"
4,Somebody told John Woo that ACAB meantAll Cops Are Brosand no one bothered to correct him.,Somebody told [DIRECTOR] that ACAB meantAll Cops Are Brosand no one bothered [ACTOR] correct him
5,"Don’t get me wrong, this is great, but it really needs a beaver with box braids.","Dont get me wrong, this is great, but it really needs a beaver with box braids"
6,"The last time I wrote here about this one, I talked about the relationship to A Story of Discharged Prisoner and Chang Cheh's brotherhood films. Rewatching it today, I was thinking about the signficance of the casting. Ti Lung was, of course, one of Chang Cheh's main leads of the 70se near the end of his leading man days and opposite to him there was Leslie Cheung who was along with Andy Lau, one of the two main romantic heartthrobs…","The last time I wrote here about this one, I talked about the relationship [ACTOR] A Story of Discharged Prisoner and [ACTOR] Cheh brotherhood films Rewatching it today, I was thinking about the signficance of the casting [ACTOR] was, of course, one of [ACTOR] Cheh main leads of the 70se near the end of his leading man days and opposite [ACTOR] him there was [ACTOR] who was along with Andy Lau, one of the two main romantic heartthrobs"
7,Lighting a cigarette with a burning 100 dollar bill is one of the coolest things to ever happen in cinema.You can actually feel John Woo being born over the course of this film. Heroes Shed No Tears started his accession but this helped form it into what would become Woo’s signature style. The Killer a couple of years later would forever solidify it.The first 20 minutes of this play out almost like a comedy before everything goes to…,Lighting a cigarette with a burning 100 dollar bill is one of the coolest things [ACTOR] ever happen in cinema You can actually feel [DIRECTOR] being born over the course of this film Heroes Shed No Tears started his accession but this helped form it into what would become [DIRECTOR] signature style The Killer a couple of years later would forever solidify it The first 20 minutes of this play out almost like a comedy before everything goes [ACTOR]
8,"Finally having seen STORY OF A DISCHARGED PRISONER it seems very clear that Woo took inspiration from its social realism and tried to marry that to a Shaw-style story of martial brotherhood using their shared shifting codes of honor as a bridge. Once the catalyst for those shifts was, say, a splinter clan trying to steal a powerful scroll, but now it's an economic bubble emerging from an influx of cheap foreign money. Either way loyalty and fraternity are the only things that end up having real, intrinsic value.","Finally having seen STORY OF A DISCHARGED PRISONER it seems very clear that [DIRECTOR] took inspiration from its social realism and tried [ACTOR] marry that [ACTOR] a Shawstyle story of martial brotherhood using their shared shifting codes of honor as a bridge Once the catalyst for those shifts was, say, a splinter clan trying [ACTOR] steal a powerful scroll, but now it an economic bubble emerging from an influx of cheap foreign money Either way loyalty and fraternity are the only things that end up having real, intrinsic value"
9,"Chow Yun-Fat light his cigarette with a burning cash not even 5 minutes into the movie, 6 stars","[ACTOR] YunFat light his cigarette with a burning cash not even 5 minutes into the movie, [YEAR] stars"
10,I'm going to have a double feature of this & the pilot to Miami Vice and ascend into heaven one of these days,Im going [ACTOR] have a double feature of this the pilot [ACTOR] Miami Vice and ascend into heaven one of these days
11,Imagine a world where action scenes today were anything like the final scene inA Better Tomorrow.It would be a beautiful world.,Imagine a world where action scenes today were anything like the final scene inA Better Tomorrow It would be a beautiful world
12,"Ambition is hell. Sacrifice is salvation. The iconic image of Chow Yun Fat lighting a cigarette with a counterfeit bill preempts the kind of flaunting, ostentatious cool imagery that would fill gangsta rap videos the next decade. They should've updated the 100 dollar bill to have *that* on the back.","Ambition is hell Sacrifice is salvation The iconic image of [ACTOR] Yun Fat lighting a cigarette with a counterfeit bill preempts the kind of flaunting, ostentatious cool imagery that would fill gangsta rap videos the next decade They shouldve updated the 100 dollar bill [ACTOR] have that on the back"
13,"“Do you believe in god?”“I am the god.”there are few things in this world I love more than Hong Kong action that makes me cry. for all that can be said about Woo’s action photography, how he beautifully conveys a sense of geography and cool through every gesture of his camera, how he’s arguably the greatest director of bullets to ever film on celluloid and how you get a sense of every character through the way they shoot…","Do you believe in god?I am the god there are few things in this world I love more than Hong Kong action that makes me cry for all that can be said about [DIRECTOR] action photography, how he beautifully conveys a sense of geography and cool through every gesture of his camera, how he arguably the greatest director of bullets [ACTOR] ever film on celluloid and how you get a sense of every character through the way they shoot"
14,"John Woo's (heroic bloodshed) movies truly ushered in a new era for action cinema. Chow Yun-Fat is great here, but so are Ting Lung, Waise Lee and Leslie Cheung. Woo would come to refine his ""bullets and melodrama"" formula with each subsequent movie, but this is already an excellent starting point.","[DIRECTOR] heroic bloodshed movies truly ushered in a new era for action cinema [ACTOR] YunFat is great here, but so are Ting Lung, [ACTOR] Lee and [ACTOR] [DIRECTOR] would come [ACTOR] refine his bullets and melodrama formula with each subsequent movie, but this is already an excellent starting point"
15,"ki·net·ic /kəˈnetik/adjectiveof, relating to, or resulting from motion.John Woo’s relationship with Tsui Hark did not last very long, but it produced three of the most iconic films that Hong Kong ever produced (A Better Tomorrow 1 & 2, The Killer). A Better Tomorrow, the first of these, took director Woo from a boring and mundane recent resume to a hyper-kinetic career path that thrust him into the international consciousness. The film also introduced Chow Yun-Fat to the world,…","kinetic knetikadjectiveof, relating to, or resulting from motion [DIRECTOR] relationship with [ACTOR] did not last very long, but it produced three of the most iconic films that Hong Kong ever produced A Better Tomorrow [YEAR] 2, The Killer A Better Tomorrow, the first of these, took director [DIRECTOR] from a boring and mundane recent resume [ACTOR] a hyperkinetic career path that thrust him into the international consciousness The film also introduced [ACTOR] YunFat [ACTOR] the world,"
16,"Action! - What Does The Dove Say? Woo Woo Woo Woo!We have now officially entered the phase of John Woo in a genre that has become synonymous with him. Gangsters, guns being shot, people hiding behind walls, rolling on the ground, tons of bodies being canibalized by bullets.One surprising aspect of this film was the fact that it had such a heartfelt storyline. This shouldn't surprise anyone since the title never implies a gruesome and overtly violent flick…","Action What Does The Dove Say? [DIRECTOR] [DIRECTOR] We have now officially entered the phase of [DIRECTOR] in a genre that has become synonymous with him Gangsters, guns being shot, people hiding behind walls, rolling on the ground, tons of bodies being canibalized by bullets One surprising aspect of this film was the fact that it had such a heartfelt storyline This shouldnt surprise anyone since the title never implies a gruesome and overtly violent flick"
17,"Having not seen this since watching it tirelessly on a loop when I worked in a video shop when discovering Chow Yun Fat and thinking he was the coolest motherfucker on the planet. Years later nothing has changed he's still untouchable and just oozes coolness from his every pour! Essentially a story about brotherhood, blood, and loyalty for as much action and gunplay on show loyalty, honor, betrayal, and friendship is the thread running through the film. A ""dudes rock""…","Having not seen this since watching it tirelessly on a loop when I worked in a video shop when discovering [ACTOR] Yun Fat and thinking he was the coolest motherfucker on the planet Years later nothing has changed he still untouchable and just oozes coolness from his every pour Essentially a story about brotherhood, blood, and loyalty for as much action and gunplay on show loyalty, honor, betrayal, and friendship is the thread running through the film A dudes rock"
18,I used to be attracted to women then my uncle showed me a movie directed by John Woo,I used [ACTOR] be attracted [ACTOR] women then my uncle showed me a movie directed by [DIRECTOR]
19,"Impossible to overstate the influence of movies like this and John Woo's other HK stuff on the action movie form, but it's different in a crucial way too - a lot of action heroes are stoic emotional ciphers, as uninterested in their own feelings as the audience is presumed to be, Woo characters are always pitched on a razor's edge of emotion, living, breathing, bleeding, and dying by their familial and professional ties, always seeming right on the cusp of either a nervous breakdown or breaking into song.","Impossible [ACTOR] overstate the influence of movies like this and [DIRECTOR] other HK stuff on the action movie form, but it different in a crucial way too a lot of action heroes are stoic emotional ciphers, as uninterested in their own feelings as the audience is presumed [ACTOR] be, [DIRECTOR] characters are always pitched on a razor edge of emotion, living, breathing, bleeding, and dying by their familial and professional ties, always seeming right on the cusp of either a nervous breakdown or breaking into song"
20,john woo's violence is so beautiful because he makes you feel the weight of the fear that everything you love could be gone in a split second like nobody else,[DIRECTOR] violence is so beautiful because he makes you feel the weight of the fear that everything you love could be gone in a split second like nobody else
21,"John Woos A Better Tomorrow sollte das Action Genre grundlegend verändern. Denn war er nicht nur der Kickstart für Chow Yun-fats Karriere sondern auch der Grundstein für das Heroic Bloodshed-Subgenre, welches Filme wie Matrix, John Wick und viele Weitere inspirierte.Man spürt jedoch dass das ganze noch nicht ganz so ausgereift ist, wie in The Killer oder später Hard Boiled. Der Fokus liegt auf dem Dreiergespann zwischen jungem Cop, seinem ehemals kriminellen Bruder und seinem Komplizen. Eine Geschichte mit ganz…","[DIRECTOR] Woos A Better Tomorrow sollte das Action Genre grundlegend verndern Denn war er nicht nur der Kickstart fr [ACTOR] Yunfats Karriere sondern auch der Grundstein fr das Heroic BloodshedSubgenre, welches Filme wie Matrix, [DIRECTOR] Wick und viele Weitere inspirierte Man sprt jedoch dass das ganze noch nicht ganz so ausgereift ist, wie in The Killer oder spter Hard Boiled Der Fokus liegt auf dem Dreiergespann zwischen jungem Cop, seinem ehemals kriminellen Bruder und seinem Komplizen Eine Geschichte mit ganz"
22,"English Version belowMottenkisteHolt die Geisel hervor. Zündet die Fackeln an. Schärft die Heugabeln. Schart die Dorf(Letterboxd)gemeinschaft zusammen. Bringt Pech und Federn an den Pranger. Setzt mich,Euren Simon, in Ketten gelegen in diese zur Schaustellung des im Namen tragenden PrangersEuresAnprangerns meiner Geschmacksverwirrung, meinem sehr fragwürdigen Gehirnumwirrungen, meines hier erlebten Gehirnfurzes und dessen Niederfassen in die Zeilen, meiner kurzeitigen Demenz und Blackouts mit ihrem Ursprung dieser Review.Bewerft mich mit dem ZeichenEuresMissfallens für diese schändliche…","English Version belowMottenkisteHolt die Geisel hervor Zndet die Fackeln an Schrft die Heugabeln Schart die DorfLetterboxdgemeinschaft zusammen Bringt Pech und Federn an den Pranger Setzt mich,Euren Simon, in Ketten gelegen in diese zur Schaustellung des im Namen tragenden PrangersEuresAnprangerns meiner Geschmacksverwirrung, meinem sehr fragwrdigen Gehirnumwirrungen, meines hier erlebten Gehirnfurzes und dessen Niederfassen in die Zeilen, meiner kurzeitigen Demenz und Blackouts mit ihrem Ursprung dieser Review Bewerft mich mit dem ZeichenEuresMissfallens fr diese schndliche"
23,"Alfred North Whitehead said all Western philosophy was merely footnotes on Plato. Well, since 1986, all of action cinema has simply been footnotes on A BETTER TOMORROW.","Alfred North Whitehead said all Western philosophy was merely footnotes on Plato Well, since 1986, all of action cinema has simply been footnotes on A BETTER TOMORROW"
24,Make action films gay again.,Make action films gay again
25,"This is the first time I’ve watched A Better Tomorrow since finally catching up with Story of a Discharged Prisoner, the 1967 Patrick Lung Kong film that was Woo’s main inspiration. The early film as the title implies is a social drama about how hard it is for ex-convicts to go straight, with the family drama and gangster plot serving to illustrate the central ideas, Woo’s film invert the logic recognizes all the outsize possibilities in the dramatic material while…","This is the first time Ive watched A Better Tomorrow since finally catching up with Story of a Discharged Prisoner, the 1967 Patrick [ACTOR] Kong film that was [DIRECTOR] main inspiration The early film as the title implies is a social drama about how hard it is for exconvicts [ACTOR] go straight, with the family drama and gangster plot serving [ACTOR] illustrate the central ideas, [DIRECTOR] film invert the logic recognizes all the outsize possibilities in the dramatic material while"
26,"the really bad subtitle track for my copy of this called al pacino ""albert gino""",the really bad subtitle track for my copy of this called al pacino albert gino
27,"Hmm... this was pretty mediocre for me. Yeah, I know thatA Better Tomorrowis hailed as one of the most influential (action) films that ever came out from Hong Kong, but that doesn't mean I have to like it. I've watched this 4 days ago and honestly, I barely remember anything from the film other than the corny melodramatic score, the uninteresting drama, and some action scenes that were a bit of a bore. I love me some cheesy…","Hmm this was pretty mediocre for me Yeah, I know thatA Better Tomorrowis hailed as one of the most influential action films that ever came out from Hong Kong, but that doesnt mean I have [ACTOR] like it Ive watched this 4 days ago and honestly, I barely remember anything from the film other than the corny melodramatic score, the uninteresting drama, and some action scenes that were a bit of a bore I love me some cheesy"
28,"i admittedly only half-watched this while high out of my mind (and trying to get my work email down to zero?) but i did pay attention to every bit of chow yun-fat double-fisted gun play, so yeah. it rules.","i admittedly only halfwatched this while high out of my mind and trying [ACTOR] get my work email down [ACTOR] zero? but i did pay attention [ACTOR] every bit of [ACTOR] yunfat doublefisted gun play, so yeah it rules"
29,"A great gangster movie from John Woo in which we get to see Chow Yun-fat light a cigarette with a burning dollar bill. Leslie Cheung also plays a pretty cool character in this movie too. The middle of the movie is definitely my favorite part. The final fight is an epic yet devastating scene. However, I still think this is a pretty good movie.","A great gangster movie from [DIRECTOR] in which we get [ACTOR] see [ACTOR] Yunfat light a cigarette with a burning dollar bill [ACTOR] also plays a pretty cool character in this movie too The middle of the movie is definitely my favorite part The final fight is an epic yet devastating scene However, I still think this is a pretty good movie"
30,"John Woo’s 80s action classic is a landmark film that set the future trend with its template structure, perfectly blending emotional melodrama and violent bloodshed, with themes of brotherhood, friendship, loyalty and revenge. The actions and the gunplay are stylishly choreographed with slo mo’s, solid visuals and soundtrack. Though the drama revolves around the brothers in Leslie Cheung and Ti Lung, its Chow Yun-fat who steals the show with his charismatic and swag loaded performance. A must watch classic for action lovers.","[DIRECTOR] 80s action classic is a landmark film that set the future trend with its template structure, perfectly blending emotional melodrama and violent bloodshed, with themes of brotherhood, friendship, loyalty and revenge The actions and the gunplay are stylishly choreographed with slo mo, solid visuals and soundtrack Though the drama revolves around the brothers in [ACTOR] and [ACTOR] Lung, its [ACTOR] Yunfat who steals the show with his charismatic and swag loaded performance A must watch classic for action lovers"
31,je suis persuadé ya un cut ou ils s’embrassent a la fin,je suis persuad ya un cut ou ils sembrassent a la fin
32,"""If you live by principles, you have nothing to fear. Be strong.""Amidst the hellacious hailstorm of gunfire and the crumbling of your life along with those who you love the most, a single person remains by your side: your best friend; your brother for life.""Once a thief, it's not easy to turn your life around.""The decisions of your past - ill-advised as they were - dictating the path your life takes; a life spent on the opposite…","If you live by principles, you have nothing [ACTOR] fear Be strong Amidst the hellacious hailstorm of gunfire and the crumbling of your life along with those who you love the most, a single person remains by your side your best friend; your brother for life Once a thief, it not easy [ACTOR] turn your life around The decisions of your past illadvised as they were dictating the path your life takes; a life spent on the opposite"
33,"""There's no more rules in the world, you can't trust anyone anymore.""A critique of power: how organized institutions of law and crime intercede between brothers of both blood and bondWatching this back to back withLast Hurrah for Chivalryit's hard not to compare them, and while the story structure and characters share some similarities, the form is completely different. Here we find Woo's signature melodrama in full force, with moody lighting, stormy weather, and slow-motion shootouts. The…","There no more rules in the world, you cant trust anyone anymore A critique of power how organized institutions of law and crime intercede between brothers of both blood and bondWatching this back [ACTOR] back withLast Hurrah for Chivalryit hard not [ACTOR] compare them, and while the story structure and characters share some similarities, the form is completely different Here we find [DIRECTOR] signature melodrama in full force, with moody lighting, stormy weather, and slowmotion shootouts The"
34,"The blazing hellfire of bullets and blows, exhibiting some of the baddest squibs you'll ever see, delivers on spectacle in spades. But it is the emotion that both anchors and elevates this, the love between brothers that not even the almighty showers of gunfire can wash away. Blood money, bloodied bodies, blood ties...it is the heart that bleeds most of all.""Be a brother.""","The blazing hellfire of bullets and blows, exhibiting some of the baddest squibs youll ever see, delivers on spectacle in spades But it is the emotion that both anchors and elevates this, the love between brothers that not even the almighty showers of gunfire can wash away Blood money, bloodied bodies, blood ties it is the heart that bleeds most of all Be a brother"
35,A John Woo Classic! Not only a truly awesome action film it's also a pretty emotional film about forgiveness.,A [DIRECTOR] Classic Not only a truly awesome action film it also a pretty emotional film about forgiveness
36,"Regret to say that A Better Tomorrow feels like a massive step down compared to the brilliance of the last I've seen The Killer, especially in terms of it's narrative complexity and character depth. It markedly reduced in it's action sequences, combined with a disrespectful portrayal of female characters and an overindulgence in it's melodrama, and substantially i just couldn't resonate with the storyline.Perhaps it's because I recently just witness The Killer? Which is arguably one of the best…","Regret [ACTOR] say that A Better Tomorrow feels like a massive step down compared [ACTOR] the brilliance of the last Ive seen The Killer, especially in terms of it narrative complexity and character depth It markedly reduced in it action sequences, combined with a disrespectful portrayal of female characters and an overindulgence in it melodrama, and substantially i just couldnt resonate with the storyline Perhaps it because I recently just witness The Killer? Which is arguably one of the best"
37,"Decent story, and some crazy gun-fu that we come to know from John Woo.John Woo ranked","Decent story, and some crazy gunfu that we come [ACTOR] know from [DIRECTOR] [DIRECTOR] ranked"
38,"This feels like John Woo's ""Blood Simple"" in that it's an earlier work that has many of the nascent elements he would go on to perfect throughout his career. Not bad by any means, and the man love between the three main leads is palpable. Plus it's fun to see a star being born in Chow-Yun Fat.","This feels like [DIRECTOR] Blood Simple in that it an earlier work that has many of the nascent elements he would go on [ACTOR] perfect throughout his career Not bad by any means, and the man love between the three main leads is palpable Plus it fun [ACTOR] see a star being born in ChowYun Fat"
39,death before dishonor,death before dishonor
40,i need to become a better builder on fortnite man,i need [ACTOR] become a better builder on fortnite man
41,"Had to revisit this after donning a pristine white suit and being blown away byA Better Tomorrow IIagain. Man, I love this movie (if you couldn't already tell by my Lb pic), and this umpteenth viewing yielded new little details I'd never noticed, like Woo, in perhaps the most cocksure move I've ever seen, double dolly shooting himself (he plays an inspector) right after the iconic restaurant bloodbath, gazing upon the carnage like God over Creation, as if…","Had [ACTOR] revisit this after donning a pristine white suit and being blown away byA Better Tomorrow IIagain Man, I love this movie if you couldnt already tell by my Lb pic, and this umpteenth viewing yielded new little details Id never noticed, like Woo, in perhaps the most cocksure move Ive ever seen, double dolly shooting himself he plays an inspector right after the iconic restaurant bloodbath, gazing upon the carnage like God over Creation, as if"
42,"Much like the similar ironic fate of action maestros of high calliber, initially deemed for specific type of films that later got far removed from their recognized output. Names like Sergio Leone that at first seemed merely a name to be related to late epic peplums – not to say (just) B spagetthi Westerns; and the other Sergio – Corbucci with his early comedies and melodramas.So didJohn Woowith his initial string of comedies – and lowkey (underrated)…","Much like the similar ironic fate of action maestros of high calliber, initially deemed for specific type of films that later got far removed from their recognized output Names like Sergio Leone that at first seemed merely a name [ACTOR] be related [ACTOR] late epic peplums not [ACTOR] say just B spagetthi Westerns; and the other Sergio Corbucci with his early comedies and melodramas So didJohn Woowith his initial string of comedies and lowkey underrated"
43,"80/90er-Testosteron ActionWenn es um Freundschaft und Bruderliebe geht, dir die Kugeln um die Ohren fliegen, dann bist du in John Woo's Heroic Bloodshed Klassiker ""City Wolf - A better Tomorrow"". Hier wird nicht gekleckert, sondern gesabbert und geballert.Jetzt fehlt mir nur noch ""Bullet in the Head"", dann hab ich alle der großen vier John Woo Klassiker gesehen. Wer dem asiatischen HK Kino der 80er nicht abgeneigt ist, sollte sich ""City Wolf - A better Tomorrow"" unbedingt merken. Es…","8090erTestosteron ActionWenn es um Freundschaft und Bruderliebe geht, dir die Kugeln um die Ohren fliegen, dann bist du in [DIRECTOR] Heroic Bloodshed Klassiker City Wolf A better Tomorrow Hier wird nicht gekleckert, sondern gesabbert und geballert Jetzt fehlt mir nur noch Bullet in the Head, dann hab ich alle der groen vier [DIRECTOR] Klassiker gesehen Wer dem asiatischen HK Kino der 80er nicht abgeneigt ist, sollte sich City Wolf A better Tomorrow unbedingt merken Es"
44,"the melodrama reaches zurlinian dramatic pungency at times, a tale of loyalty and brotherhood told with woo's exotic eye and a special taste for violence that turns everything even more engaging. great casting by the way, yun-fat being particularly grand.","the melodrama reaches zurlinian dramatic pungency at times, a tale of loyalty and brotherhood told with [DIRECTOR] exotic eye and a special taste for violence that turns everything even more engaging great casting by the way, yunfat being particularly grand"
45,"Considering A Better Tomorrow was produced on a relatively small budget and sent into cinemas with virtually no advertising, it's simply incredible to witness what is the birth of Hong Kong gangster cinema as we know it today. Pretty much any of the film's wonkier moments are bolstered by its captivating musical score by Joseph Koo, the gripping story, epic shootouts and incredible leading performances of Ti Lung, Leslie Cheung and, the epitome of coolness himself, Chow Yun-fat. In 95…","Considering A Better Tomorrow was produced on a relatively small budget and sent into cinemas with virtually no advertising, it simply incredible [ACTOR] witness what is the birth of Hong Kong gangster cinema as we know it today Pretty much any of the film wonkier moments are bolstered by its captivating musical score by Joseph Koo, the gripping story, epic shootouts and incredible leading performances of [ACTOR] Lung, [ACTOR] and, the epitome of coolness himself, [ACTOR] Yunfat In 95"
46,"John Woo'sA Better Tomorrowis a nice slab of 80's fried HK action cinema, dripping in sweat but also surprisingly sappy resulting in some riveting tonal whiplash.Here we follow two brothers on opposite sides of the tracks. One's a triad, the other has just graduated from school to become a cop. Their love could not be more palpable though, since the cop-to-be brother has no idea of his other brother's shady life. Cue the double-crossings, bloodshed, redemption, and…","[DIRECTOR] WoosA Better Tomorrowis a nice slab of 80 fried HK action cinema, dripping in sweat but also surprisingly sappy resulting in some riveting tonal whiplash Here we follow two brothers on opposite sides of the tracks One a triad, the other has just graduated from school [ACTOR] become a cop Their love could not be more palpable though, since the coptobe brother has no idea of his other brother shady life Cue the doublecrossings, bloodshed, redemption, and"
47,"Let's say hypothetically you had the powers to transport yourself to the year 1987. First things first, you hungrily acquire a Webster's dictionary. The word badass is defined as: ready to cause or get into trouble. The classic directors are name checked: Leone, Peckinpah, Scorsese, Kurosawa, etc. In freshly red-tainted ink is theNew Wave of Badassfronted by the first Chinese name to be cataloged: Woo.","Let say hypothetically you had the powers [ACTOR] transport yourself [ACTOR] the year 1987 First things first, you hungrily acquire a Webster dictionary The word badass is defined as ready [ACTOR] cause or get into trouble The classic directors are name checked Leone, Peckinpah, Scorsese, Kurosawa, etc In freshly redtainted ink is theNew Wave of Badassfronted by the first Chinese name [ACTOR] be cataloged [DIRECTOR]"
48,"""You really think you can learn this? Don't think reading gangster books will make you the boss. Have you ever had a gun pointed at your head? No. Twelve years ago... Twelve years already. For the first time, I went with Ho to bring goods to Indonesia. The Boss there treated us to dinner in the night club. I said something wrong, displeasing the boss... and there were two guns pointed at my head. I was forced to drink a…","You really think you can learn this? Dont think reading gangster books will make you the boss Have you ever had a gun pointed at your head? No Twelve years ago Twelve years already For the first time, I went with Ho [ACTOR] bring goods [ACTOR] Indonesia The Boss there treated us [ACTOR] dinner in the night club I said something wrong, displeasing the boss and there were two guns pointed at my head I was forced [ACTOR] drink a"
49,"I bet a lot of actors wish they had an introduction as iconic as Chow Yun-Fat lighting a cigarette with a flaming c-note.Chang Cheh may have prefigured the subgenre with films like The Duel and New One-Armed Swordsman, but John Woo’s The Better Tomorrow is heroic bloodshed’s explosive debut, emerging full-formed with sleek style, brotherhood melodrama, and dual pistols blazing. I had always expected this to be a nonstop gunfight, but then I remembered I was watching a John…","I bet a lot of actors wish they had an introduction as iconic as [ACTOR] YunFat lighting a cigarette with a flaming cnote [ACTOR] Cheh may have prefigured the subgenre with films like The Duel and New OneArmed Swordsman, but [DIRECTOR] The Better Tomorrow is heroic bloodshed explosive debut, emerging fullformed with sleek style, brotherhood melodrama, and dual pistols blazing I had always expected this [ACTOR] be a nonstop gunfight, but then I remembered I was watching a [DIRECTOR]"
50,"This landmark film from John Woo helped to usher in the “Heroic Bloodshed” genre—a style of Hong Kong action filmmaking that eschewed the traditional martial arts-oriented stylings of both Kung Fu and Wuxia cinema in favour of hyper-stylised, explosive gunplay; featuring narratives that were largely centred around organised crime syndicates (chiefly the HK Triad) and containing heavily dramatised elements and intricately entwined human storylines. This film is generally considered to mark the genesis of this new movement in action cinema—one…","This landmark film from [DIRECTOR] helped [ACTOR] usher in the Heroic Bloodshed genrea style of Hong Kong action filmmaking that eschewed the traditional martial artsoriented stylings of both Kung Fu and Wuxia cinema in favour of hyperstylised, explosive gunplay; featuring narratives that were largely centred around organised crime syndicates chiefly the HK Triad and containing heavily dramatised elements and intricately entwined human storylines This film is generally considered [ACTOR] mark the genesis of this new movement in action cinemaone"
51,"A melodrama on top of an action flick on top of a family drama, this film bursts onto the screen with bright flashes and pain. Pain that is drenched in every unspoken moment, every bullet that tears through the skin.It’s complex and difficult being on opposite sides. When everything in your gut and every instinct is telling you that you’re on the same side. But you have to push that down and continue fighting. Stop thinking. Keep shooting. Until it’s all done and you can grip his hand again.(side note - nobody does a shootout like John Woo! King shit.)","A melodrama on top of an action flick on top of a family drama, this film bursts onto the screen with bright flashes and pain Pain that is drenched in every unspoken moment, every bullet that tears through the skin It complex and difficult being on opposite sides When everything in your gut and every instinct is telling you that youre on the same side But you have [ACTOR] push that down and continue fighting Stop thinking Keep shooting Until it all done and you can grip his hand again side note nobody does a shootout like [DIRECTOR] King shit"
52,I'm admittedly very behind on my John Woo viewings as much as I hate to admit it this is the first film I've seen from him that wasn't an american production. I've obviously known of his reputation for years and he was always one of the main directors I wanted to get to but kept getting sidetracked and actually often found some of his work hard to find. I originally wanted Hard Boiled and The Killer to be the first…,Im admittedly very behind on my [DIRECTOR] viewings as much as I hate [ACTOR] admit it this is the first film Ive seen from him that wasnt an american production Ive obviously known of his reputation for years and he was always one of the main directors I wanted [ACTOR] get [ACTOR] but kept getting sidetracked and actually often found some of his work hard [ACTOR] find I originally wanted Hard Boiled and The Killer [ACTOR] be the first
